Term,Definition,Vectorized_Term,Vectorized_Definition,Metadata,Synonyms,FAQ,FAQ_Response,Sample_User_Query,Query_Response
MORTGAGE GLOSSARY 1003,A Mortgage Loan Application (the Uniform Residential Loan Application - URLA) (FNMA Form,,,,,,,,
1004,Appraisal (the Uniform Residential Appraisal Report - URAR) (FNMA Form,,,,,,,,
1004D,"Provides notice to the lender if the property has gone down in value, or if the property has been completed per original plans & specs, or subject to repairs or recommended inspections.",,,,,,,,
1004MC,Enhances the transparency of the market trends and conditions conclusions made by the appraiser.,,,,,,,,
1004P,A hybrid appraisal that involves the appraiser.,,,,,,,,
1025,Appraisal form needed if the subject property is,,,,,,,,
FHLMC 72,FNMA (FHLMC,,,,,,,,
1040,U.S. Individual Income Tax Return.,,,,,,,,
1041,"U.S. Income Tax Return for Estates and Trusts. Report the income, deductions, gains, losses, etc. of the estate or trust.",,,,,,,,
1065,"U.S. Return of Partnership Income. Provides information applicable to certain entities, individuals, and estates that own, directly or indirectly, an interest of",,,,,,,,
1073,FNMA appraisal form that is used if our subject property is a condo (attached/detached/site).,,,,,,,,
FHLMC 465 1098,"Mortgage Interest Statement, is an Internal Revenue Service (IRS) form that's used to report the amount of interest and related expenses paid on a mortgage during the tax year.",,,,,,,,
1099,Reports a person's non-salary income.,,,,,,,,
This is a generic document type used for any IRS 1099 document when the specific IRS 1099 document type is unknown or unnecessary 1099A,Acquisition or Abandonment of Secured Property. Reports the amount of the debt owed (principal only) and the fair market value (FMV) of the secured property as of the date of the acquisition or abandonment of the property.,,,,,,,,
1099B,"Proceeds From Broker and Barter Exchange Transactions. If you sold stock, bonds or other securities through a broker or had a barter exchange transaction (exchanged property or services rather than paying cash).",,,,,,,,
1099C Cancellation of Debt 1099CAP,Changes in Corporate Control and Capital Structure. For shareholders of a corporation if control of the corporation was acquired or it underwent a substantial change in capital structure.,,,,,,,,
1099DIV,Dividends and Distributions. Used by banks and other financial institutions to report dividends and other distributions to taxpayers and to the IRS.,,,,,,,,
1099G,"Certain Government Payments. Federal, state,",,,,,,,,
or local governments file this form if they made payments of,"Unemployment compensation. State or local income tax refunds, credits, or offsets. Reemployment trade adjustment assistance (RTAA) payments.",,,,,,,,
1099H,Health Coverage Tax Credit (HCTC) Advance Payments. Provided if you received Health Coverage Tax Credit (HCTC) advance payments of your health coverage insurance premiums.,,,,,,,,
1099INT,"Interest Income. A tax form issued by interest-paying entities, such as banks, investment firms, and other financial institutions, to taxpayers who receive interest income of $10 or more.",,,,,,,,
1099LTC,"Long-Term Care and Accelerated Death Benefits. Enables individual taxpayers to report long-term care (LTC) benefits, including accelerated death benefits.",,,,,,,,
1099MISC,IRS Form,,,,,,,,
Used by UWM Underwriters to verify borrower income 1099OID,"Original Issue Discount. To report income when bonds, notes, or certificates of deposit (CDs) are sold at a discount from their maturity value.",,,,,,,,
1099PATR,Taxable Distributions Received From Cooperatives. Report cooperative and business income on your tax return.,,,,,,,,
1099Q,Payments From Qualified Education Programs (Under Sections,,,,,,,,
1099R,"Distributions From Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, etc.",,,,,,,,
1099S,Proceeds From Real Estate Transactions. Used to report non-employment income to the Internal Revenue Service (IRS).,,,,,,,,
1099SA,"Distributions From an HSA, Archer MSA, or Medicare Advantage MSA. Sent to individual taxpayers who receive distributions from health savings, medical savings, and Medicare Advantage accounts.",,,,,,,,
1120,U.S. Corporation Income Tax Return. Asks for information about tax positions that affect the U.S. federal income tax liabilities of certain corporations that issue or are included in audited financial statements and have assets that equal or exceed $10 million.,,,,,,,,
1120S,"U.S. Income Tax Return for an S Corporation. To report the income, gains, losses, deductions, credits, etc., of a domestic corporation or other entity for any tax year covered by an election to be an S corporation.",,,,,,,,
203K Borrower Acknowledgment,Borrower acknowledgement that they will conform with the requirements laid out by HUD for a,,,,,,,,
203K Borrower Identity Of Interest Certification,"Certification that the borrower does not have an identity-of-interest with the seller of the property and does not have a conflict of interest with any other party to the transaction, including the realtor, lender, contractor, consultant, and/or the appraiser. In addition, certifying that the borrower is not obtaining any source of funds or acting as a 'strawbuyer' for another individual, partnership, company, or investment club.",,,,,,,,
203K Consultant Identity Of Interest Statement,Certification letter completed by all consultants and plan reviewers who are required to sign the following certification after preparing/reviewing the work write-up and cost estimate. The signer certifies that all items requiring correction and that the rehabilitation proposal now meets all HUD requirements for,,,,,,,,
203K Consultant Report,Describes the work that needs to be done to bring the house to FHA standards.,,,,,,,,
203K Cost Estimates,"Breakdown of the costs, by line item, associated with the work to be conducted in the rehabilitation of the property.",,,,,,,,
203K Draw Request,"Provides information required to release funds based on work in place. Must be signed by contractor, borrower and inspector.  Form HUD-9746-",,,,,,,,
A 203K Homeowner Acknowledgment,Confirms the final bid amount for the project and the time frame for completion. A contract between the homeowner and the contractor.,,,,,,,,
203K Initial Draw Request,"Provides information required to release funds based on work in place. Must be signed by contractor, borrower and inspector.",,,,,,,,
203K Maximum Mortgage Worksheet,Determines Maximum amount for,,,,,,,,
203K Rehabilitation Agreement,Establishes the terms and conditions of the,,,,,,,,
2,Fannie Mae,,,,,,,,
4,"Document used by brokers to import a loan in EASE. Data specification containing the Uniform Loan Application Dataset (ULAD) and additional data for conventional and government loans. See also DU, Fannie Mae,",,,,,,,,
A ABA American Bankers Association Abandonment,"The intentional relinquishment of claim or title to personal or real property. Abatement (Rental): A reduction or elimination of rent payments for a specified period of time, usually granted by the landlord as an inducement to the tenant to enter into or to renew a lease. Abatement (Tax): A reduction in real property tax granted by a taxing authority as the result of an appeal. In some jurisdictions, tax abatements may also be granted as an inducement for development or to attract or retain job-providing industries.",,,,,,,,
A Credit Mortgages,"Mortgages which generally meet the credit underwriting guidelines of Fannie Mae, Freddie Mac, FHA, VA or major jumbo purchasers. Those who have credit ratings or other qualification deficiencies would be rated as B, C or D credit.",,,,,,,,
ATR,"Ability To Repay. Requires that a lender make a reasonable, good-faith determination before or when consummating a mortgage loan that the consumer has a reasonable ability to repay the loan, considering such factors as the consumer’s income or assets and employment status.",,,,,,,,
Ability To Repay Exemption Credit Extended Purpose Indicator,"When true, indicates the purpose of the extension of credit exempts the transaction from Regulation Z requirements.",,,,,,,,
Ability To Repay Exemption Creditor Organization Type,Specifies the creditor organization type exempts the transaction from Regulation Z Ability-to-Repay requirements.,,,,,,,,
Ability To Repay Exemption Loan Program Type,Specifies the creditor organization type exempts the transaction from Regulation Z Ability-to-Repay requirements.,,,,,,,,
Ability To Repay Interest Rate Debt Expense Ratio Percent,"The ratio of all debt payments of the borrowers, including proposed housing expenses, to the qualifying income of the borrowers (back-end ratio) based on the note interest rate.",,,,,,,,
Ability To Repay Method Type,Specifies the method by which the creditor satisfied Regulation Z Ability-to-Repay requirements.,,,,,,,,
Above Par,"When a mortgage is sold for more than its face value because it has an above market interest rate. For example, a $100,000 mortgage may be sold for",,,,,,,,
Absentee Ownership,Ownership of property (usually income producing) by a non-occupant who employs others to manage and maintain the property.,,,,,,,,
Absorption,The level of property units rented or sold after which price concessions must be made for market demand to continue at current levels. Used to determine the feasibility of new residential or commercial construction.,,,,,,,,
Absorption Rate,"The rate at which vacant space is either leased or sold to users in the market place. Absorption rate is usually expressed in square feet per year or, in the case of multifamily housing, number of units per year.",,,,,,,,
Abstract Identifier,A unique number (or alpha-numeric designator) assigned to a land Title Abstract document (i.e.: a sequential collection of documents relating to a specific parcel of land). The boundaries of a parcel of real property is determined from the information contained in the Title Abstract document.,,,,,,,,
Abstract Notice Agreement,Establishes that the lender will not be responsible for replacing the abstract.,,,,,,,,
Abstract of Judgement,Derived from a Judgment; contains only the details of a court action that relate to fulfilling the court order.,,,,,,,,
Abstract of Title,"A written history of ownership of a parcel of land, summarizing the material parts of any occurrence affecting title of said land.",,,,,,,,
Abstraction,Method for computing depreciation by comparing the replacement cost of the improvements to the sales price less land value.,,,,,,,,
Acceptable Signing Method Type,An instruction as to the signing methods that are acceptable for this document. It does not reflect a document instance state.,,,,,,,,
Acceptance,An offeree’s consent to enter into a contract and be bound by the terms of the offer.,,,,,,,,
Acceptance Letter,A document signed by a construction loan borrower stating that all work is complete and of acceptable quality.,,,,,,,,
Access Rights,A right to ingress and egress from one’s property; may be implied or expressed.,,,,,,,,
Accession,Title to property is gained through its addition to the owner’s existing real estate and can apply to both land and improvements.,,,,,,,,
Accessory Unit Count Describes the number of accessory units associated with the structure Accident,"An unplanned, unexpected and undesigned event which occurs suddenly at a definite place.",,,,,,,,
Accident And Health Premium,A portion of the amount paid by a borrower for mortgage insurance that ensures the continuance of mortgage payments in the event of a mortgagor’s disability or illness.,,,,,,,,
Accommodation Paper,"A promissory note or other negotiable instrument signed by a third party (accommodation party) guaranteeing the repayment of a loan. Accommodation Party (Endorser): A person who lends his name to guarantee a loan for another by signing a promissory note, bill or other negotiable instrument; the endorser becomes the guarantor of the loan and is therefore responsible for its repayment.",,,,,,,,
ACE,Automated Collateral Evaluation.,,,,,,,,
ACH Automated Clearing House,"enables credit, debit,",,,,,,,,
and transfer transactions between financial institutions Accrual Rate,"The rate at which interest is calculated. For a particular remittance date for an MBS pool, it is the mortgage interest rate due under the terms of the mortgage note during the period beginning on the second day of the month preceding the remittance date and ending on the first day of the month in which such remittance date occurs, less the lender’s servicing spread.",,,,,,,,
AE,Account Executive.,,,,,,,,
UWM Sales Team  Affiliated Projects,"Condo, co-op, and PUD projects that are under the same master association or share the use of common facilities that are either owned individually or as part of a master association or development are considered affiliated projects. Condo, co-op, or PUD projects that do not meet this criteria, are not considered affiliated projects, even if they are managed by the same management company.",,,,,,,,
Allonge,An attachment to a legal document that is used to insert language or signatures when there is no space for them on the document itself. Frequently used to add endorsements to the mortgage note.,,,,,,,,
